# One Inch Photodetector
# AW 2021-09-02
# OPA818 op-amp
# RF 12k Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: SA floor 
# Trace B: detector dark noise
# Trace C: detector response
# Trace D: detector response, 10dB optical attenuation added
# 3 kHz RBW, frequency sweep 1MHz to 500MHz
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),36.843309,Auto
# Start Frequency,+1.000000000e+06
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Auto
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.500000000e+01
# Attenuation,15,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,C,Frequency,110.114667 MHz,-33.01 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Pos Peak,Pos Peak
# Trace Data
1.207600e+08,-1.156717e+02,-1.049793e+02,-3.444999e+01,-5.347831e+01
1.214253e+08,-1.168816e+02,-1.003240e+02,-3.457694e+01,-5.358085e+01
1.220907e+08,-1.147205e+02,-1.037410e+02,-3.463065e+01,-5.362968e+01
1.227560e+08,-1.153367e+02,-9.932401e+01,-3.477226e+01,-5.375175e+01
1.234213e+08,-1.169197e+02,-1.005398e+02,-3.484550e+01,-5.386894e+01
1.240867e+08,-1.148562e+02,-1.003748e+02,-3.497245e+01,-5.398124e+01
1.247520e+08,-1.191824e+02,-1.046228e+02,-3.503593e+01,-5.406425e+01
1.254173e+08,-1.135975e+02,-1.023562e+02,-3.516288e+01,-5.419608e+01
1.260827e+08,-1.173894e+02,-1.039500e+02,-3.522147e+01,-5.423515e+01
1.267480e+08,-1.187195e+02,-1.034226e+02,-3.533866e+01,-5.436210e+01
1.274133e+08,-1.153260e+02,-1.008904e+02,-3.541679e+01,-5.444022e+01
1.280787e+08,-1.121707e+02,-1.001443e+02,-3.551933e+01,-5.451347e+01
1.287440e+08,-1.152762e+02,-1.017615e+02,-3.561210e+01,-5.465019e+01
1.294093e+08,-1.166971e+02,-1.048289e+02,-3.570976e+01,-5.470390e+01
1.300747e+08,-1.196121e+02,-9.898222e+01,-3.581230e+01,-5.482597e+01
1.307400e+08,-1.154998e+02,-1.021805e+02,-3.588065e+01,-5.488944e+01
1.314053e+08,-1.174637e+02,-1.017137e+02,-3.599296e+01,-5.502128e+01
1.320707e+08,-1.149305e+02,-1.007293e+02,-3.606132e+01,-5.505058e+01
1.327360e+08,-1.219725e+02,-1.018064e+02,-3.619804e+01,-5.520194e+01
1.334013e+08,-1.178201e+02,-9.985722e+01,-3.625175e+01,-5.527519e+01
1.340667e+08,-1.199705e+02,-1.027508e+02,-3.637382e+01,-5.535819e+01
1.347320e+08,-1.140144e+02,-1.036668e+02,-3.644218e+01,-5.544608e+01
1.353973e+08,-1.207195e+02,-1.016834e+02,-3.655937e+01,-5.557304e+01
1.360627e+08,-1.158504e+02,-1.034812e+02,-3.662284e+01,-5.562675e+01
1.367280e+08,-1.208865e+02,-1.028279e+02,-3.674003e+01,-5.572440e+01
1.373933e+08,-1.135408e+02,-1.042742e+02,-3.681327e+01,-5.581718e+01
1.380587e+08,-1.157576e+02,-1.034314e+02,-3.691581e+01,-5.590995e+01
1.387240e+08,-1.145164e+02,-1.044949e+02,-3.699882e+01,-5.602714e+01
1.393893e+08,-1.168055e+02,-1.080291e+02,-3.708183e+01,-5.608573e+01
1.400547e+08,-1.172430e+02,-1.036170e+02,-3.718437e+01,-5.620780e+01
1.407200e+08,-1.218045e+02,-1.025642e+02,-3.726249e+01,-5.623710e+01
1.413853e+08,-1.134070e+02,-9.998026e+01,-3.737968e+01,-5.637382e+01
1.420507e+08,-1.159422e+02,-1.055057e+02,-3.742851e+01,-5.644706e+01
1.427160e+08,-1.155955e+02,-1.022449e+02,-3.757011e+01,-5.657401e+01
1.433813e+08,-1.148562e+02,-1.019012e+02,-3.761405e+01,-5.662772e+01
1.440467e+08,-1.149285e+02,-1.042810e+02,-3.775077e+01,-5.673026e+01
1.447120e+08,-1.170955e+02,-1.040564e+02,-3.781913e+01,-5.680839e+01
1.453773e+08,-1.171072e+02,-1.020057e+02,-3.793144e+01,-5.691093e+01
1.460427e+08,-1.158016e+02,-1.025848e+02,-3.799980e+01,-5.697929e+01
1.467080e+08,-1.134568e+02,-1.019353e+02,-3.810233e+01,-5.705741e+01
1.473733e+08,-1.134314e+02,-9.955351e+01,-3.817558e+01,-5.717948e+01
1.480387e+08,-1.154373e+02,-9.662675e+01,-3.826835e+01,-5.725761e+01
1.487040e+08,-1.178084e+02,-1.028562e+02,-3.834647e+01,-5.735526e+01
1.493693e+08,-1.180662e+02,-1.015564e+02,-3.843437e+01,-5.739921e+01
1.500347e+08,-1.119969e+02,-1.041492e+02,-3.854179e+01,-5.750175e+01
1.507000e+08,-1.145252e+02,-1.032049e+02,-3.860038e+01,-5.757987e+01
1.513653e+08,-1.147293e+02,-1.031648e+02,-3.870780e+01,-5.768730e+01
1.520307e+08,-1.138426e+02,-1.024881e+02,-3.876640e+01,-5.774589e+01
1.526960e+08,-1.144246e+02,-1.032918e+02,-3.889335e+01,-5.787284e+01
1.533613e+08,-1.167469e+02,-1.010271e+02,-3.893730e+01,-5.788261e+01
1.540267e+08,-1.155818e+02,-1.074119e+02,-3.907401e+01,-5.796562e+01
1.546920e+08,-1.148592e+02,-1.059549e+02,-3.912772e+01,-5.810722e+01
1.553573e+08,-1.141853e+02,-1.046609e+02,-3.924491e+01,-5.819511e+01
1.560227e+08,-1.179676e+02,-1.043973e+02,-3.929862e+01,-5.824882e+01
1.566880e+08,-1.157078e+02,-1.026766e+02,-3.941581e+01,-5.833671e+01
1.573533e+08,-1.168875e+02,-1.059031e+02,-3.946952e+01,-5.843925e+01
1.580187e+08,-1.145213e+02,-9.998026e+01,-3.956718e+01,-5.852226e+01
1.586840e+08,-1.146736e+02,-1.034568e+02,-3.964042e+01,-5.860526e+01
1.593493e+08,-1.152683e+02,-1.031853e+02,-3.972343e+01,-5.866874e+01
1.600147e+08,-1.156560e+02,-1.057059e+02,-3.981620e+01,-5.877128e+01
1.606800e+08,-1.151502e+02,-1.055174e+02,-3.987480e+01,-5.881522e+01
