#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-10.00 dBm
#Ref Offset,0.00 dB
#Attenuation,30,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,1000000
#Stop Frequency,100000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,25.024000 MHz,-37.30 dBm
#Marker2,C,Frequency,43.768000 MHz,-40.56 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#0,1,1.132000 MHz,-86.17 dBm
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
49444000.000000,-90.65,-69.94,-41.79,
49576000.000000,-91.46,-71.38,-41.92,
49708000.000000,-89.59,-71.64,-41.70,
49840000.000000,-92.59,-71.39,-42.17,
49972000.000000,-90.70,-70.70,-42.34,
50104000.000000,-91.36,-70.08,-42.69,
50236000.000000,-90.94,-71.73,-42.02,
50368000.000000,-92.00,-69.18,-41.68,
50500000.000000,-90.73,-70.77,-41.92,
50632000.000000,-91.39,-70.82,-41.97,
50764000.000000,-91.29,-70.91,-42.43,
50896000.000000,-91.51,-71.34,-42.40,
51028000.000000,-91.81,-71.27,-42.74,
51160000.000000,-92.57,-70.02,-41.92,
51292000.000000,-90.98,-71.11,-42.18,
51424000.000000,-90.02,-71.14,-42.26,
51556000.000000,-89.96,-71.14,-42.32,
51688000.000000,-91.53,-70.69,-42.14,
51820000.000000,-91.27,-70.41,-42.02,
51952000.000000,-91.47,-71.58,-42.30,
52084000.000000,-91.24,-70.18,-41.70,
52216000.000000,-90.45,-69.17,-42.26,
52348000.000000,-93.13,-70.03,-42.65,
52480000.000000,-89.79,-70.90,-42.37,
52612000.000000,-92.21,-70.92,-42.93,
52744000.000000,-91.02,-70.98,-42.47,
52876000.000000,-92.05,-70.90,-42.13,
53008000.000000,-92.77,-70.95,-42.40,
53140000.000000,-92.90,-71.36,-42.69,
53272000.000000,-90.74,-72.03,-43.02,
53404000.000000,-90.85,-71.92,-42.49,
53536000.000000,-90.28,-72.22,-42.60,
53668000.000000,-91.27,-71.23,-42.91,
53800000.000000,-92.78,-71.53,-43.20,
53932000.000000,-91.09,-71.23,-42.83,
54064000.000000,-90.97,-70.64,-43.10,
54196000.000000,-91.57,-71.23,-43.05,
54328000.000000,-91.16,-71.60,-42.40,
54460000.000000,-91.10,-69.58,-43.02,
54592000.000000,-90.24,-69.94,-43.47,
54724000.000000,-91.74,-70.65,-42.90,
54856000.000000,-92.55,-70.55,-43.04,
54988000.000000,-90.78,-70.20,-42.64,
55120000.000000,-91.74,-69.52,-43.21,
55252000.000000,-90.98,-70.47,-42.88,
55384000.000000,-92.59,-71.87,-42.68,
55516000.000000,-91.98,-70.23,-42.84,
55648000.000000,-91.28,-69.80,-42.84,
55780000.000000,-90.33,-69.63,-43.98,
55912000.000000,-90.17,-72.62,-42.84,
56044000.000000,-92.29,-71.65,-43.19,
56176000.000000,-91.41,-68.76,-43.05,
56308000.000000,-91.98,-70.37,-43.56,
56440000.000000,-92.79,-70.92,-43.38,
56572000.000000,-92.22,-69.79,-43.16,
56704000.000000,-89.79,-70.43,-42.78,
