#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
2.153200e+07,-5.758463e+01,-5.772503e+01,-8.154776e+01
2.161067e+07,-5.746397e+01,-5.794041e+01,-8.165133e+01
2.168933e+07,-5.803399e+01,-5.864082e+01,-8.099134e+01
2.176800e+07,-5.719368e+01,-5.744437e+01,-8.222846e+01
2.184667e+07,-5.700511e+01,-5.881054e+01,-8.032254e+01
2.192533e+07,-5.720341e+01,-5.763016e+01,-8.079847e+01
2.200400e+07,-5.702110e+01,-5.709223e+01,-8.140513e+01
2.208267e+07,-5.745553e+01,-5.799012e+01,-8.179275e+01
2.216133e+07,-5.772885e+01,-5.615252e+01,-8.080444e+01
2.224000e+07,-5.603622e+01,-5.717132e+01,-8.032969e+01
2.231867e+07,-5.683971e+01,-5.635306e+01,-8.132675e+01
2.239733e+07,-5.648401e+01,-5.650692e+01,-8.054226e+01
2.247600e+07,-5.764692e+01,-5.804536e+01,-8.101688e+01
2.255467e+07,-5.696571e+01,-5.680462e+01,-8.030658e+01
2.263333e+07,-5.681302e+01,-5.628660e+01,-8.142156e+01
2.271200e+07,-5.647370e+01,-5.726010e+01,-8.076686e+01
2.279067e+07,-5.672476e+01,-5.686046e+01,-8.171416e+01
2.286933e+07,-5.593126e+01,-5.572608e+01,-8.098945e+01
2.294800e+07,-5.680951e+01,-5.574095e+01,-8.190476e+01
2.302667e+07,-5.648873e+01,-5.578767e+01,-8.186911e+01
2.310533e+07,-5.637676e+01,-5.504463e+01,-8.136766e+01
2.318400e+07,-5.599524e+01,-5.538359e+01,-8.254046e+01
2.326267e+07,-5.508440e+01,-5.642932e+01,-8.141083e+01
2.334133e+07,-5.646362e+01,-5.690232e+01,-8.270631e+01
2.342000e+07,-5.681539e+01,-5.551024e+01,-8.177411e+01
2.349867e+07,-5.632026e+01,-5.665712e+01,-8.093969e+01
2.357733e+07,-5.653834e+01,-5.502885e+01,-8.162887e+01
2.365600e+07,-5.635616e+01,-5.619571e+01,-8.119606e+01
2.373467e+07,-5.618824e+01,-5.584444e+01,-8.065732e+01
